[Debug] 09:43:45,737 DEBUG ActionCacheOperate ~ new ActionCacheOperate() begin.....
  [Debug] 09:43:45,737 DEBUG ActionCacheOperate ~ new ActionCacheOperate() end .....
  [Debug] 09:43:45,739 DEBUG DeployFileManage ~ new DeployFileManage() begin.....
  [Debug] 09:43:45,739 DEBUG DeployFileManage ~ new DeployFileManage() end .....
  [Debug] 09:43:45,800 DEBUG ConfigManage ~ new ConfigManage() begin.....
  [Debug] 09:43:45,800 DEBUG SystemConfigCacgeOperate ~ new SystemConfigCacgeOperate() begin.....
  [Debug] 09:43:45,800 DEBUG SystemConfigCacgeOperate ~ new SystemConfigCacgeOperate() end .....
  [Debug] 09:43:45,800 DEBUG SystemConfigCacgeOperate ~ readerSysConfig begin...
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ seek file path:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ regex:sys_.+.properties begin...
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ add path:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ add path:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ seek file path:/D:/java_workspace/mbrOld/CloudEngine/bin/config/ regex:sys_.+.properties end...
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties begin...
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_DISTRIBUTION_REGEX_BOOK=suffix.+.xml
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_DEPEND_REGEX_BOOK=depend.+.xml
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:CONFIG_PATH=
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:CHARSET=UTF-8
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_REMOTE_REGEX_BOOK=remote.+.xml
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_CHECK_REGEX_BOOK=check.+.xml
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties key:SYS_ACTION_REGEX_BOOK=action.+.xml
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_conf.properties end...
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties begin...
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.port2=16391
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.auth=admin
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.timeout=10000
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.ip2=10.10.4.77
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.pool.maxActive=1024
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.pool.maxIdle=200
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.ip=10.10.4.76
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redis.pool.maxWait=1000
  [Debug] 09:43:45,800 DEBUG DeployFileManage ~ reader properties:D:\java_workspace\mbrOld\CloudEngine\bin\config\sys_redis.properties key:redisCached=cluster
